city,driver_count,type
Richardfort,38,Urban
Williamsstad,59,Urban
Port Angela,67,Urban
Rodneyfort,34,Urban
West Robert,39,Urban
West Anthony,70,Urban
West Angela,48,Urban
Martinezhaven,25,Urban
Karenberg,22,Urban
Barajasview,26,Urban
Robertport,12,Urban
Joneschester,39,Urban
Leahton,17,Urban
West Christopherberg,32,Urban
Johnton,27,Urban
Reynoldsfurt,67,Urban
Port David,7,Urban
New Kimberlyborough,33,Urban
Carriemouth,52,Urban
Rogerston,25,Urban
Jerryton,64,Urban
Loganberg,23,Urban
Simpsonburgh,21,Urban
Port Frank,23,Urban
South Latoya,10,Urban
West Samuelburgh,73,Urban
Grahamburgh,61,Urban
West Patrickchester,25,Urban
North Madeline,19,Urban
South Jack,46,Urban
Liumouth,69,Urban
West Ericstad,25,Urban
Royland,64,Urban
Erikaland,37,Urban
Huntermouth,37,Urban
Justinberg,39,Urban
South Evanton,11,Urban
Lake Danielberg,19,Urban
East Kaylahaven,65,Urban
West Heidi,28,Urban
Karenside,5,Urban
South Karenland,4,Urban
West Gabriel,57,Urban
North Markport,22,Urban
Raymondhaven,11,Urban
North Barbara,18,Urban
Lake Scottton,58,Urban
West Josephberg,45,Urban
Pattyland,59,Urban
South Michelleport,72,Urban
Christopherfurt,41,Urban
Valentineton,45,Urban
South Phillip,38,Urban
North Jason,6,Urban
Deanville,49,Urban
Lake Jonathanshire,5,Urban
New Paulton,44,Urban
Hurleymouth,36,Urban
Port Johnbury,3,Urban
North Jasmine,33,Urban
New Paulville,44,Urban
Amandaburgh,12,Urban
Williamsview,46,Urban
New Jacobville,50,Urban
Port Samanthamouth,57,Urban
Roberthaven,47,Urban
Port Shane,7,Suburban
Lake Ann,3,Suburban
Lake Scott,23,Suburban
Colemanland,23,Suburban
New Raymond,17,Suburban
South Teresa,21,Suburban
Myersshire,19,Suburban
Grayville,2,Suburban
Lake Robertside,4,Suburban
Lewishaven,23,Suburban
Rodriguezview,20,Suburban
Victoriaport,16,Suburban
Williamsonville,2,Suburban
West Hannah,12,Suburban
West Kimmouth,4,Suburban
New Shannonberg,20,Suburban
North Timothy,7,Suburban
New Olivia,20,Suburban
Lake Omar,22,Suburban
Sotoville,10,Suburban
Veronicaberg,20,Suburban
East Kentstad,20,Suburban
Bethanyland,22,Suburban
South Brenda,1,Suburban
Barronchester,11,Suburban
Brandonfort,10,Suburban
East Danielview,22,Suburban
East Marymouth,5,Suburban
Mezachester,14,Suburban
Lewisland,4,Suburban
Josephside,25,Suburban
Davidfurt,23,Suburban
Nicolechester,19,Suburban
East Aaronbury,7,Suburban
North Richardhaven,1,Suburban
North Jeffrey,11,Suburban
South Jennifer,7,Rural
West Heather,4,Rural
Newtonview,1,Rural
North Holly,8,Rural
Michaelberg,6,Rural
Taylorhaven,1,Rural
Penaborough,6,Rural
Harringtonfort,4,Rural
Lake Jamie,4,Rural
Lake Latoyabury,2,Rural
North Jaime,1,Rural
South Marychester,1,Rural
Garzaport,7,Rural
Bradshawfurt,7,Rural
New Ryantown,2,Rural
Randallchester,9,Rural
Jessicaport,1,Rural
South Saramouth,7,Rural
